dataset,num_nodes,num_epochs,local_epochs,graph_type,graph_param,batch_size,samples_per_client,algorithm,attack_percentage,attack_type,lambda,final_compromised_accuracy,final_honest_accuracy,filename
celeba,20,10,3,erdos,045,64,10000,d-fedavg,10,gaussian,1,0.5055,0.5013,celeba_20_10_3_erdos_045_64_10000_d-fedavg_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,20,directed_deviation,1,0.7402,0.7391,celeba_20_10_3_erdos_045_64_10000_d-fedavg_20attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,20,gaussian,1,0.5197,0.505,celeba_20_10_3_erdos_045_64_10000_d-fedavg_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,30,directed_deviation,1,0.5992,0.6679,celeba_20_10_3_erdos_045_64_10000_d-fedavg_30attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,30,gaussian,1,0.5001,0.5046,celeba_20_10_3_erdos_045_64_10000_d-fedavg_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,40,directed_deviation,1,0.5913,0.5865,celeba_20_10_3_erdos_045_64_10000_d-fedavg_40attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,40,gaussian,1,0.4957,0.4932,celeba_20_10_3_erdos_045_64_10000_d-fedavg_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,50,directed_deviation,1,0.5577,0.5463,celeba_20_10_3_erdos_045_64_10000_d-fedavg_50attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,50,gaussian,1,0.5042,0.5028,celeba_20_10_3_erdos_045_64_10000_d-fedavg_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,60,directed_deviation,1,0.5375,0.5486,celeba_20_10_3_erdos_045_64_10000_d-fedavg_60attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,60,gaussian,1,0.4957,0.509,celeba_20_10_3_erdos_045_64_10000_d-fedavg_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,70,directed_deviation,1,0.4837,0.4867,celeba_20_10_3_erdos_045_64_10000_d-fedavg_70attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,70,gaussian,1,0.5028,0.5015,celeba_20_10_3_erdos_045_64_10000_d-fedavg_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,80,directed_deviation,1,0.5161,0.5174,celeba_20_10_3_erdos_045_64_10000_d-fedavg_80attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,80,gaussian,1,0.494,0.5158,celeba_20_10_3_erdos_045_64_10000_d-fedavg_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,0,directed_deviation,1,0.9113,0.9113,celeba_20_10_3_erdos_045_64_10000_krum_0attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,10,directed_deviation,1,0.9162,0.9089,celeba_20_10_3_erdos_045_64_10000_krum_10attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,10,gaussian,1,0.9136,0.9112,celeba_20_10_3_erdos_045_64_10000_krum_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,20,directed_deviation,1,0.9145,0.9111,celeba_20_10_3_erdos_045_64_10000_krum_20attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,20,gaussian,1,0.9064,0.9124,celeba_20_10_3_erdos_045_64_10000_krum_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,30,directed_deviation,1,0.9112,0.8804,celeba_20_10_3_erdos_045_64_10000_krum_30attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,30,gaussian,1,0.8996,0.884,celeba_20_10_3_erdos_045_64_10000_krum_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,40,directed_deviation,1,0.5652,0.5987,celeba_20_10_3_erdos_045_64_10000_krum_40attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,40,gaussian,1,0.5094,0.67,celeba_20_10_3_erdos_045_64_10000_krum_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,50,directed_deviation,1,0.5577,0.5463,celeba_20_10_3_erdos_045_64_10000_krum_50attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,50,gaussian,1,0.5042,0.5028,celeba_20_10_3_erdos_045_64_10000_krum_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,60,directed_deviation,1,0.5375,0.5486,celeba_20_10_3_erdos_045_64_10000_krum_60attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,60,gaussian,1,0.4957,0.509,celeba_20_10_3_erdos_045_64_10000_krum_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,70,directed_deviation,1,0.4949,0.4868,celeba_20_10_3_erdos_045_64_10000_krum_70attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,70,gaussian,1,0.5028,0.5015,celeba_20_10_3_erdos_045_64_10000_krum_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,80,directed_deviation,1,0.5161,0.5174,celeba_20_10_3_erdos_045_64_10000_krum_80attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,krum,80,gaussian,1,0.494,0.5158,celeba_20_10_3_erdos_045_64_10000_krum_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,ubar,0,directed_deviation,1,0.9142,0.9142,celeba_20_10_3_erdos_045_64_10000_ubar_0attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,ubar,10,directed_deviation,1,0.9137,0.9134,celeba_20_10_3_erdos_045_64_10000_ubar_10attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,ubar,10,gaussian,1,0.9137,0.9134,celeba_20_10_3_erdos_045_64_10000_ubar_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,ubar,20,directed_deviation,1,0.9148,0.9129,celeba_20_10_3_erdos_045_64_10000_ubar_20attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,ubar,20,gaussian,1,0.9148,0.9129,celeba_20_10_3_erdos_045_64_10000_ubar_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,ubar,30,directed_deviation,1,0.9134,0.9164,celeba_20_10_3_erdos_045_64_10000_ubar_30attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,ubar,30,gaussian,1,0.9134,0.9164,celeba_20_10_3_erdos_045_64_10000_ubar_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,ubar,40,directed_deviation,1,0.8918,0.9139,celeba_20_10_3_erdos_045_64_10000_ubar_40attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,ubar,40,gaussian,1,0.8918,0.9139,celeba_20_10_3_erdos_045_64_10000_ubar_40attack_gaussian_1lambda.log
